what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.springframework.ide.eclipse.osgi,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.osgi",1295054490281
stopped,bundle,org.springframework.ide.eclipse.webflow.mylyn,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.webflow.mylyn",1295054490281
stopped,bundle,org.springframework.ide.eclipse.webflow.ui,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1295054490281
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.graph,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.webflow.ui.graph",1295054490281
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.editor,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.webflow.ui.editor",1295054490281
stopped,bundle,org.springframework.ide.eclipse.webflow.core,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.webflow.core",1295054490281
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1295054490281
stopped,bundle,org.springframework.ide.eclipse.beans.ui.graph,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.beans.ui.graph",1295054490281
stopped,bundle,org.springframework.ide.eclipse.beans.ui.search,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.beans.ui.search",1295054490281
stopped,bundle,org.springframework.ide.eclipse.beans.ui,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.beans.ui",1295054490281
stopped,bundle,org.springframework.ide.eclipse.beans.core.metadata,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.beans.core.metadata",1295054490281
stopped,bundle,org.springframework.ide.eclipse.beans.core,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.beans.core",1295054490281
stopped,bundle,org.springframework.ide.eclipse.ui,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.ui",1295054490281
stopped,bundle,org.springframework.ide.eclipse.core,2.5.1.201011101000-RELEASE,"org.springframework.ide.eclipse.core",1295054490281
stopped,bundle,org.eclipse.ajdt.core,2.1.2.e36x-20101113-1400,"org.eclipse.ajdt.core",1295054490281
stopped,bundle,org.eclipse.contribution.weaving.jdt,2.1.2.e36x-20101113-1400,"org.eclipse.contribution.weaving.jdt",1295054490281
stopped,bundle,org.eclipse.contribution.xref.ui,2.1.2.e36x-20101113-1400,"org.eclipse.contribution.xref.ui",1295054490281
